nombre_estacion,latitud,longitud,Fecha,Caudal Diario Promedio
Agoyan,-1.3977,-78.3829,2016-07-28,271.375
Agoyan,-1.3977,-78.3829,2016-07-29,335.0833333333333
Agoyan,-1.3977,-78.3829,2016-07-30,297.75
Agoyan,-1.3977,-78.3829,2016-07-31,215.41666666666666
Agoyan,-1.3977,-78.3829,2016-08-01,183.20833333333334
Agoyan,-1.3977,-78.3829,2016-08-02,157.79166666666666
Agoyan,-1.3977,-78.3829,2016-08-03,154.70833333333334
Agoyan,-1.3977,-78.3829,2016-08-04,162.5
Agoyan,-1.3977,-78.3829,2016-08-05,140.0
Agoyan,-1.3977,-78.3829,2016-08-06,124.5
Agoyan,-1.3977,-78.3829,2016-08-07,144.25
Agoyan,-1.3977,-78.3829,2016-08-08,143.70833333333334
Agoyan,-1.3977,-78.3829,2016-08-09,127.95833333333333
Agoyan,-1.3977,-78.3829,2016-08-10,108.95833333333333
Agoyan,-1.3977,-78.3829,2016-08-11,190.125
Agoyan,-1.3977,-78.3829,2016-08-12,147.95833333333334
Agoyan,-1.3977,-78.3829,2016-08-13,123.70833333333333
Agoyan,-1.3977,-78.3829,2016-08-14,105.875
Agoyan,-1.3977,-78.3829,2016-08-15,101.375
Agoyan,-1.3977,-78.3829,2016-08-16,116.375
Agoyan,-1.3977,-78.3829,2016-08-17,109.08333333333333
Agoyan,-1.3977,-78.3829,2016-08-18,150.41666666666666
Agoyan,-1.3977,-78.3829,2016-08-19,132.54166666666666
Agoyan,-1.3977,-78.3829,2016-08-20,105.5
Agoyan,-1.3977,-78.3829,2016-08-21,93.04166666666667
Agoyan,-1.3977,-78.3829,2016-08-22,119.45833333333333
Agoyan,-1.3977,-78.3829,2016-08-23,120.04166666666667
Agoyan,-1.3977,-78.3829,2016-08-24,95.25
Agoyan,-1.3977,-78.3829,2016-08-25,81.5
Agoyan,-1.3977,-78.3829,2016-08-26,108.375
Agoyan,-1.3977,-78.3829,2016-08-27,121.54166666666667
Agoyan,-1.3977,-78.3829,2016-08-28,90.20833333333333
Agoyan,-1.3977,-78.3829,2016-08-29,79.25
Agoyan,-1.3977,-78.3829,2016-08-30,72.95833333333333
Agoyan,-1.3977,-78.3829,2016-08-31,74.83333333333333
Agoyan,-1.3977,-78.3829,2016-09-01,131.5
Agoyan,-1.3977,-78.3829,2016-09-02,108.20833333333333
Agoyan,-1.3977,-78.3829,2016-09-03,87.54166666666667
Agoyan,-1.3977,-78.3829,2016-09-04,81.75
Agoyan,-1.3977,-78.3829,2016-09-05,90.83333333333333
Agoyan,-1.3977,-78.3829,2016-09-06,111.91666666666667
Agoyan,-1.3977,-78.3829,2016-09-07,96.04166666666667
Agoyan,-1.3977,-78.3829,2016-09-08,78.05499999999999
Agoyan,-1.3977,-78.3829,2016-09-09,69.75
Agoyan,-1.3977,-78.3829,2016-09-10,94.79166666666667
Agoyan,-1.3977,-78.3829,2016-09-11,155.20833333333334
Agoyan,-1.3977,-78.3829,2016-09-12,132.95833333333334
Agoyan,-1.3977,-78.3829,2016-09-13,95.54166666666667
Agoyan,-1.3977,-78.3829,2016-09-14,93.04166666666667
Agoyan,-1.3977,-78.3829,2016-09-15,134.29166666666666
Agoyan,-1.3977,-78.3829,2016-09-16,107.70833333333333
Agoyan,-1.3977,-78.3829,2016-09-17,93.95833333333333
Agoyan,-1.3977,-78.3829,2016-09-18,92.5
Agoyan,-1.3977,-78.3829,2016-09-19,122.0
Agoyan,-1.3977,-78.3829,2016-09-20,143.75
Agoyan,-1.3977,-78.3829,2016-09-21,111.41666666666667
Agoyan,-1.3977,-78.3829,2016-09-22,91.625
Agoyan,-1.3977,-78.3829,2016-09-23,93.20833333333333
Agoyan,-1.3977,-78.3829,2016-09-24,133.08333333333334
Agoyan,-1.3977,-78.3829,2016-09-25,156.66666666666666
Agoyan,-1.3977,-78.3829,2016-09-26,125.41666666666667
Agoyan,-1.3977,-78.3829,2016-09-27,97.08333333333333
Agoyan,-1.3977,-78.3829,2016-09-28,103.79166666666667
Agoyan,-1.3977,-78.3829,2016-09-29,112.33333333333333
Agoyan,-1.3977,-78.3829,2016-09-30,85.625
Agoyan,-1.3977,-78.3829,2016-10-01,97.33333333333333
Agoyan,-1.3977,-78.3829,2016-10-02,104.45833333333333
Agoyan,-1.3977,-78.3829,2016-10-03,84.91666666666667
Agoyan,-1.3977,-78.3829,2016-10-04,79.0
Agoyan,-1.3977,-78.3829,2016-10-05,85.70833333333333
Agoyan,-1.3977,-78.3829,2016-10-06,89.75
Agoyan,-1.3977,-78.3829,2016-10-07,78.45833333333333
Agoyan,-1.3977,-78.3829,2016-10-08,84.83333333333333
Agoyan,-1.3977,-78.3829,2016-10-09,75.66666666666667
Agoyan,-1.3977,-78.3829,2016-10-10,80.45833333333333
Agoyan,-1.3977,-78.3829,2016-10-11,87.91666666666667
Agoyan,-1.3977,-78.3829,2016-10-12,93.33333333333333
Agoyan,-1.3977,-78.3829,2016-10-13,99.0
Agoyan,-1.3977,-78.3829,2016-10-14,93.625
Agoyan,-1.3977,-78.3829,2016-10-15,80.83333333333333
Agoyan,-1.3977,-78.3829,2016-10-16,83.125
Agoyan,-1.3977,-78.3829,2016-10-17,72.08333333333333
Agoyan,-1.3977,-78.3829,2016-10-18,66.41666666666667
Agoyan,-1.3977,-78.3829,2016-10-19,65.58333333333333
Agoyan,-1.3977,-78.3829,2016-10-20,64.0
Agoyan,-1.3977,-78.3829,2016-10-21,64.75
Agoyan,-1.3977,-78.3829,2016-10-22,62.166666666666664
Agoyan,-1.3977,-78.3829,2016-10-23,65.08333333333333
Agoyan,-1.3977,-78.3829,2016-10-24,70.04166666666667
Agoyan,-1.3977,-78.3829,2016-10-25,71.75
Agoyan,-1.3977,-78.3829,2016-10-26,67.66666666666667
Agoyan,-1.3977,-78.3829,2016-10-27,57.137499999999996
Agoyan,-1.3977,-78.3829,2016-10-28,57.25
Agoyan,-1.3977,-78.3829,2016-10-29,56.75
Agoyan,-1.3977,-78.3829,2016-10-30,54.041666666666664
Agoyan,-1.3977,-78.3829,2016-10-31,51.333333333333336
Agoyan,-1.3977,-78.3829,2016-11-01,52.375
Agoyan,-1.3977,-78.3829,2016-11-02,55.291666666666664
Agoyan,-1.3977,-78.3829,2016-11-03,58.791666666666664
Agoyan,-1.3977,-78.3829,2016-11-04,56.791666666666664
Agoyan,-1.3977,-78.3829,2016-11-05,61.083333333333336
Agoyan,-1.3977,-78.3829,2016-11-06,78.29166666666667
Agoyan,-1.3977,-78.3829,2016-11-07,75.125
Agoyan,-1.3977,-78.3829,2016-11-08,67.54166666666667
Agoyan,-1.3977,-78.3829,2016-11-09,59.541666666666664
Agoyan,-1.3977,-78.3829,2016-11-10,58.125
Agoyan,-1.3977,-78.3829,2016-11-11,68.20833333333333
Agoyan,-1.3977,-78.3829,2016-11-12,68.25
Agoyan,-1.3977,-78.3829,2016-11-13,58.958333333333336
Agoyan,-1.3977,-78.3829,2016-11-14,62.041666666666664
Agoyan,-1.3977,-78.3829,2016-11-15,60.333333333333336
